stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
560,11331,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,,43.737216,-79.591718,,,,,1
561,5620,MARTIN GROVE RD AT JOHN GARLAND BLVD,,43.731898,-79.589165,,,,,1
562,5627,MARTIN GROVE RD AT MERCURY RD,,43.726119,-79.586874,,,,,1
563,7957,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,,43.726341,-79.586709,,,,,2
564,1286,2061 MCCOWAN RD,,43.795412,-79.261115,,,,,1
565,777,MCCOWAN RD AT BUSHBY DR NORTH SIDE,,43.775002,-79.252211,,,,,1
566,9993,MCCOWAN RD AT ELSON ST,,43.834942,-79.276072,,,,,1
567,9807,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,,43.831766,-79.275242,,,,,1
568,10577,MCCOWAN AVE AT STEELES AVE EAST SOUTH SIDE,,43.830332,-79.275138,,,,,1
569,9616,MCCOWAN RD AT TOWN CENTRE CRT,,43.774822,-79.252569,,,,,1
570,2874,1020 MCNICOLL AVE,,43.804161,-79.333395,,,,,1
571,12017,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.809917,-79.30648,,,,,1
572,12035,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.810171,-79.306214,,,,,1
573,9179,MCNICOLL AVE AT VICTORIA PARK AVE,,43.803887,-79.336859,,,,,1
574,6575,MEADOWVALE RD AT SHEPPARD AVE EAST,,43.8086,-79.171015,,,,,1
575,11114,MEMORIAL PARK AVE AT COXWELL AVE,,43.692235,-79.32747,,,,,1
577,5753,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,,43.702117,-79.353245,,,,,1
578,4484,MILLWOOD RD AT OVERLEA BLVD,,43.7019,-79.352504,,,,,1
579,10947,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,,43.80925,-79.202744,,,,,1
580,11249,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,,43.813038,-79.205981,,,,,1
581,13906,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,,43.823399,-79.230506,,,,,1
582,14104,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,,43.826565,-79.232884,,,,,2
583,5755,MORNING STAR DR AT CATALPA RD,,43.719772,-79.643176,,,,,2
584,5756,MORNING STAR DR AT CATALPA RD,,43.720077,-79.643053,,,,,2
585,5758,MORNING STAR DR AT AIRPORT RD EAST SIDE,,43.709985,-79.649766,,,,,2
586,5759,MORNING STAR DR AT LANCASTER AVE,,43.712743,-79.647435,,,,,2
587,5760,MORNING STAR DR AT MANION RD,,43.712589,-79.64767,,,,,2
588,5763,MORNING STAR DR AT REINDEER DR WEST SIDE,,43.713981,-79.646969,,,,,2
589,5764,MORNING STAR DR AT REINDEER DR,,43.714618,-79.646554,,,,,2
590,5773,MORTIMER AVE AT COXWELL AVE WEST SIDE (EAST GEN HOSPITAL),,43.690556,-79.327054,,,,,1
591,5813,MT PLEASANT RD AT EGLINTON AVE EAST NORTH SIDE,,43.708909,-79.390199,,,,,1
592,11453,MT PLEASANT RD AT ELM AVE,,43.674617,-79.380266,,,,,1
593,11705,MT PLEASANT RD AT INGLEWOOD DR,,43.688233,-79.38348,,,,,1
594,10883,MT PLEASANT RD AT ST CLAIR AVE EAST SOUTH SIDE,,43.689984,-79.383243,,,,,1
595,1380,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.815464,-79.22727,,,,,1
596,11667,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.815718,-79.227396,,,,,1
597,5904,OAKWOOD AVE AT EGLINTON AVE SOUTH SIDE,,43.696942,-79.4427,,,,,1
598,5911,OAKWOOD AVE AT ROGERS RD,,43.687048,-79.438572,,,,,1
599,1419,OCONNOR DR AT PAPE AVE,,43.693133,-79.350428,,,,,1
600,4509,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,,43.673944,-79.46306,,,,,1
601,11583,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673245,-79.462866,,,,,1
602,4508,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673627,-79.463123,,,,,1
605,10225,851 OSSINGTON AVE,,43.664789,-79.42674,,,,,1
606,8008,OSSINGTON AVE AT BLOOR ST WEST,,43.661814,-79.425455,,,,,1
607,9857,OSSINGTON AVE AT BLOOR ST WEST,,43.66208,-79.425762,,,,,1
609,2979,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,,43.702471,-79.352222,,,,,2
610,8009,OVERLEA BLVD AT MILLWOOD RD,,43.70235,-79.352722,,,,,1
611,8011,OVERLEA BLVD AT THORNCLIFFE PARK DR EAST,,43.70726,-79.344018,,,,,1
612,11846,PAPE AVE AT LIPTON AVE NORTH SIDE,,43.679891,-79.345139,,,,,1
613,4501,PAPE AVE AT OCONNOR DR NORTH SIDE,,43.693663,-79.350395,,,,,1
614,1451,PARLIAMENT ST AT CARLTON ST,,43.664072,-79.367834,,,,,2
615,1452,PARLIAMENT ST AT GERRARD ST EAST,,43.66206,-79.36715,,,,,2
616,13336,PASSMORE AVE AT MIDLAND AVE WEST SIDE,,43.82054,-79.295887,,,,,1
617,1453,PETER KAISER GATE AT STEELES AVE WEST,,43.774012,-79.526649,,,,,1
618,13468,PETER KAISER GATE AT STEELES AVE WEST,,43.773791,-79.526557,,,,,1
619,6698,PHARMACY AVE AT ELLESMERE RD,,43.758903,-79.310042,,,,,1
620,9885,PORT UNION RD AT ADENMORE RD NORTH SIDE,,43.781763,-79.137484,,,,,1
622,9737,FINCH AVE WEST AT CHESSWOOD DR WEST SIDE,,43.766372,-79.478483,,,,,1
623,3587,FINCH AVE WEST AT DUFFERIN ST,,43.768592,-79.467461,,,,,1
624,13709,FINCH AVE WEST AT JANE ST,,43.757081,-79.518163,,,,,1
627,11200,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,,43.736704,-79.59245,,,,,1
628,12456,FINCH AVE WEST AT RUMIKE RD EAST SIDE,,43.749971,-79.551625,,,,,2
629,3613,FINCH AVE WEST AT SENLAC RD,,43.776341,-79.430364,,,,,1
630,9821,FINCH AVE WEST AT SENTINEL RD EAST SIDE,,43.761129,-79.499238,,,,,1
631,3622,FINCH AVE WEST AT WILMINGTON AVE,,43.770071,-79.460855,,,,,1
632,10210,FLEET ST AT BATHURST ST,,43.636543,-79.399884,,,,,2
636,4512,FOUNDERS RD AT STEELES AVE WEST,,43.778956,-79.504129,,,,,1
638,2646,FRESHMEADOW DR AT DON MILLS RD,,43.809242,-79.358653,,,,,1
639,9116,FRESHMEADOW DR AT DON MILLS RD,,43.809184,-79.358774,,,,,1
640,9536,FRONT ST EAST AT BERKELEY ST,,43.651421,-79.363628,,,,,1
642,12491,GLEN RD AT SOUTH DR,,43.677733,-79.375141,,,,,2
